,v202401.1.1,v202401.2.1,v202401.4.0,latest
Angebot,🔴,🟢,🟢,🟢
Ansprechpartner,➖,\-,\-,\-
Ausschreibung,🟢,🟢,🟢,🟢
Buendelvertrag,🟢,🟢,🟢,🟢
Energiemenge,🟢,🟢,🟢,🟢
Fremdkosten,🟢,🟢,🟢,🟢
Geraet,🟢,🟢,🟢,🟢
Geschaeftspartner,🔴,🟢,🟢,🟢
Kosten,🟢,🟢,🟢,🟢
Lastgang,🟢,🟢,🟢,🟢
Lokationszuordnung,\-,\-,➕,🟢
Marktlokation,🟡,🟢,🔴,🟢
Marktteilnehmer,🔴,🟢,🟢,🟢
Messlokation,🟢,🟢,🟡,🟢
Netzlokation,\-,\-,➕,🟢
Person,➕,🟢,🟢,🟢
Preisblatt,🟢,🟢,🟢,🟢
PreisblattDienstleistung,🟢,🟢,🟢,🟢
PreisblattHardware,🟢,🟢,🟢,🟢
PreisblattKonzessionsabgabe,🟢,🟢,🟢,🟢
PreisblattMessung,🟢,🟢,🟢,🟢
PreisblattNetznutzung,🟢,🟢,🟢,🟢
Rechnung,🟢,🟢,🟢,🟢
Region,🟢,🟢,🟢,🟢
Regionaltarif,🟢,🟢,🟢,🟢
Standorteigenschaften,🟢,🟢,🟢,🟢
SteuerbareRessource,\-,\-,➕,🟢
Tarif,🟢,🟢,🟢,🟢
Tarifinfo,🟢,🟢,🟢,🟢
Tarifkosten,🟢,🟢,🟢,🟢
Tarifpreisblatt,🟢,🟢,🟢,🟢
TechnischeRessource,\-,\-,➕,🟢
Vertrag,🟢,🟢,🟢,🟢
Zaehler,🟢,🟢,🟢,🟢
Zeitreihe,🟢,🟢,🟢,🟢
Adresse,🟢,🟢,🟢,🟢
Angebotsposition,🟢,🟢,🟢,🟢
Angebotsteil,🟢,🟢,🟢,🟢
Angebotsvariante,🟢,🟢,🟢,🟢
AufAbschlag,🟢,🟢,🟢,🟢
AufAbschlagProOrt,🟢,🟢,🟢,🟢
AufAbschlagRegional,🟢,🟢,🟢,🟢
AufAbschlagstaffelProOrt,🟢,🟢,🟢,🟢
Ausschreibungsdetail,🟢,🟢,🟢,🟢
Ausschreibungslos,🟢,🟢,🟢,🟢
Betrag,🟢,🟢,🟢,🟢
Dienstleistung,🟢,🟢,🟢,🟢
Energieherkunft,🟢,🟢,🟢,🟢
Energiemix,🟢,🟢,🟢,🟢
Fremdkostenblock,🟢,🟢,🟢,🟢
Fremdkostenposition,🟢,🟢,🟢,🟢
Geokoordinaten,🟢,🟢,🟢,🟢
Katasteradresse,🟢,🟢,🟢,🟢
Konfigurationsprodukt,\-,\-,➕,🟢
Kontaktweg,➕,🟢,🟢,🟢
Konzessionsabgabe,🟢,🟢,🟢,🟢
Kostenblock,🟢,🟢,🟢,🟢
Kostenposition,🟢,🟢,🟢,🟢
KriteriumWert,🟢,🟢,🟢,🟢
MarktgebietInfo,🟢,🟢,🟢,🟢
Menge,🟢,🟢,🟢,🟢
Messlokationszuordnung,🟢,🟢,➖,\-
PositionsAufAbschlag,🟢,🟢,🟢,🟢
Preis,🟢,🟢,🟢,🟢
Preisgarantie,🟢,🟢,🟢,🟢
Preisposition,🟢,🟢,🟢,🟢
Preisstaffel,🟢,🟢,🟢,🟡
Rechnungsposition,🟢,🟢,🟢,🟢
RegionaleGueltigkeit,🟢,🟢,🟢,🟢
RegionalePreisgarantie,🟢,🟢,🟢,🟢
RegionalePreisstaffel,🟢,🟢,🟢,🟡
RegionalerAufAbschlag,🟢,🟢,🟢,🟢
RegionaleTarifpreisposition,🟢,🟢,🟢,🟢
Regionskriterium,🟢,🟢,🟢,🟢
Rufnummer,➖,\-,\-,\-
